file,structure,concept,noStrings,category,structureNo,NoPause,NoStringsNoPause
p63_t26_v_w123_disgusted,sspsspss,disgusted,8,emotion/valence,ss|ss|ss,ssssss,6
p12_t14_v_w123_disgusted,sss,disgusted,3,emotion/valence,sss,sss,3
p56_t56_v_w5_dog,spspsspspspspspsps,dog,18,animal,s|s|ss|s|s|s|s|s|s,ssssssssss,10
p77_t2_v_w5_dog,sspsps,dog,6,animal,ss|s|s,ssss,4
p25_t41_v_w5_dog,sspss,dog,5,animal,ss|ss,ssss,4
p40_t27_v_w5_dog,sspssspspspspspsspsspss,dog,23,animal,ss|sss|s|s|s|s|ss|ss|ss,sssssssssssssss,15
p17_t38_v_w5_dog,sspssssspsssspsss,dog,17,animal,ss|sssss|ssss|sss,ssssssssssssss,14
p65_t0_v_w5_dog,ssss,dog,4,animal,ssss,ssss,4
p13_t52_v_w89_egg,spsps,egg,5,thing/object,s|s|s,sss,3
p75_t37_v_w89_egg,spspspsps,egg,9,thing/object,s|s|s|s|s,sssss,5
p32_t7_v_w89_egg,ss,egg,2,thing/object,ss,ss,2
p57_t9_v_w89_egg,ss,egg,2,thing/object,ss,ss,2
p43_t51_v_w89_egg,ssps,egg,4,thing/object,ss|s,sss,3
p23_t21_v_w89_egg,ssssspsssssssss,egg,15,thing/object,sssss|sssssssss,ssssssssssssss,14
p24_t45_v_w6_fish,spsps,fish,5,animal,s|s|s,sss,3
p55_t10_v_w6_fish,spsspssspspspspspspspssspspspsps,fish,32,animal,s|ss|sss|s|s|s|s|s|s|sss|s|s|s|s,sssssssssssssssssss,19
p73_t41_v_w6_fish,sspsps,fish,6,animal,ss|s|s,ssss,4
p44_t11_v_w6_fish,sspsspsspss,fish,11,animal,ss|ss|ss|ss,ssssssss,8
p70_t40_v_w6_fish,sssssssssssssssssspssssssss,fish,27,animal,ssssssssssssssssss|ssssssss,ssssssssssssssssssssssssss,26
p11_t45_v_w7_fly,sps,fly,3,animal,s|s,ss,2
p56_t48_v_w7_fly,spspsps,fly,7,animal,s|s|s|s,ssss,4
p20_t20_v_w7_fly,sss,fly,3,animal,sss,sss,3
p63_t20_v_w7_fly,sss,fly,3,animal,sss,sss,3
p32_t6_v_w7_fly,ssss,fly,4,animal,ssss,ssss,4
p1_t47_v_w7_fly,sssss,fly,5,animal,sssss,sssss,5
p45_t29_v_w7_fly,ssssss,fly,6,animal,ssssss,ssssss,6
p77_t17_v_w7_fly,sssssspsssss,fly,12,animal,ssssss|sssss,sssssssssss,11
p70_t52_v_w31_good,s,good,1,emotion/valence,s,s,1
p4_t53_v_w31_good,ss,good,2,emotion/valence,ss,ss,2
p16_t55_v_w31_good,ssps,good,4,emotion/valence,ss|s,sss,3
p58_t4_v_w31_good,sspspss,good,7,emotion/valence,ss|s|ss,sssss,5
p64_t12_v_w31_good,sspsss,good,6,emotion/valence,ss|sss,sssss,5
p45_t25_v_w31_good,sss,good,3,emotion/valence,sss,sss,3
p24_t47_v_w124_happy,s,happy,1,emotion/valence,s,s,1
p62_t58_v_w124_happy,spssspspsssspssps,happy,17,emotion/valence,s|sss|s|ssss|ss|s,ssssssssssss,12
p59_t35_v_w124_happy,sspsssps,happy,8,emotion/valence,ss|sss|s,ssssss,6
p74_t13_v_w124_happy,sss,happy,3,emotion/valence,sss,sss,3
p10_t34_v_w124_happy,sssss,happy,5,emotion/valence,sssss,sssss,5
p1_t52_v_w124_happy,ssssssss,happy,8,emotion/valence,ssssssss,ssssssss,8
p4_t47_v_w103_maybe,s,maybe,1,abstract/logical,s,s,1
p50_t16_v_w103_maybe,s,maybe,1,abstract/logical,s,s,1
p17_t22_v_w103_maybe,spsps,maybe,5,abstract/logical,s|s|s,sss,3
p37_t22_v_w103_maybe,spsps,maybe,5,abstract/logical,s|s|s,sss,3
